City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB BOJONEGORO,4050,,4050,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB BANYUWANGI,5085,,5085,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB NGAWI,2881,,2881,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA SURABAYA,33006,12109,45115,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB BANGKALAN,2793,,2793,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB MADIUN,2146,,2146,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA BLITAR,2254,,2254,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB MALANG,6773,,6773,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB MAGETAN,2252,,2252,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA PROBOLINGGO,1476,,1476,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA MALANG,9546,,9546,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB SAMPANG,1570,,1570,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB KEDIRI,4319,,4319,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB TUBAN,2472,,2472,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB SUMENEP,2457,,2457,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB TRENGGALEK,2378,,2378,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB PAMEKASAN,2017,,2017,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB SITUBONDO,1943,,1943,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB PACITAN,1531,,1531,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB NGAWI,3019,,3019,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB MADIUN,2152,,2152,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB PASURUAN,4225,,4225,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB BANYUWANGI,5085,,5085,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB BANGKALAN,2804,,2804,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB MALANG,6923,,6923,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB MAGETAN,2355,,2355,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA PROBOLINGGO,1551,,1551,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA BLITAR,2357,,2357,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB KEDIRI,4336,,4336,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB TUBAN,2472,,2472,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA MALANG,9572,,9572,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB TRENGGALEK,2385,,2385,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB SUMENEP,2594,,2594,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB PAMEKASAN,2046,,2046,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB SAMPANG,1660,,1660,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB SITUBONDO,2212,,2212,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB PACITAN,1738,,1738,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB TULUNGAGUNG,5320,,5320,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB SIDOARJO,9173,3947,13120,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA MOJOKERTO,2687,,2687,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB GRESIK,6436,1979,8415,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB PONOROGO,3540,,3540,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB LAMONGAN,5340,,5340,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA PASURUAN,1420,,1420,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB JEMBER,6636,,6636,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA BATU,1559,,1559,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB NGANJUK,3451,,3451,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB JOMBANG,5141,,5141,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA KEDIRI,4355,,4355,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB BLITAR,2811,,2811,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB MOJOKERTO,3761,,3761,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB BONDOWOSO,2586,,2586,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA MADIUN,3561,,3561,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB LUMAJANG,3363,,3363,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB BOJONEGORO,4050,,4050,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB PROBOLINGGO,2940,,2940,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KOTA SURABAYA,33120,15128,48248,2/9/2021,https://twitter.com/KominfoJatim/status/1359172379428102146/photo/,
KAB TULUNGAGUNG,5320,,5320,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB GRESIK,6436,2623,9059,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB PASURUAN,4451,,4451,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB SIDOARJO,9173,3947,13120,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA MOJOKERTO,2695,,2695,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB MOJOKERTO,3761,,3761,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB PONOROGO,3540,65,3605,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB LAMONGAN,5340,41,5381,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA PASURUAN,1420,,1420,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB JEMBER,6636,870,7506,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA BATU,1559,,1559,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA KEDIRI,4371,,4371,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB NGANJUK,3451,,3451,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB JOMBANG,5146,1407,6553,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB BONDOWOSO,2669,,2669,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB PROBOLINGGO,2941,,2941,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA MADIUN,3578,,3578,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB BLITAR,2830,51,2881,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB LUMAJANG,3413,64,3477,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB BOJONEGORO,4167,,4167,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB NGAWI,3019,,3019,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA BLITAR,2369,,2369,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB BANGKALAN,2894,10,2904,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA SURABAYA,33220,18211,51431,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB BANYUWANGI,5085,,5085,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB MADIUN,2169,,2169,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB MALANG,7080,,7080,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB MAGETAN,2391,,2391,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB SITUBONDO,2438,,2438,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB KEDIRI,4851,,4851,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA MALANG,10640,,10640,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB SAMPANG,1749,,1749,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KOTA PROBOLINGGO,1551,,1551,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB PACITAN,2027,,2027,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB TUBAN,2711,11,2722,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB SUMENEP,2731,,2731,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB TRENGGALEK,2386,,2386,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB PAMEKASAN,2063,50,2113,2/10/2021,https://twitter.com/KominfoJatim/status/1359619992854007811/photo/,
KAB KEDIRI,5398,1359,6757,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB LUMAJANG,3418,775,4193,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB NGAWI,3081,764,3845,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB BOJONEGORO,4211,652,4863,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB MALANG,7406,,7406,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB SITUBONDO,2557,7,2564,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA BLITAR,2369,,2369,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB BANGKALAN,2900,163,3063,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA PROBOLINGGO,1644,315,1959,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB MAGETAN,2462,267,2729,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA SURABAYA,33377,20112,53489,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB BANYUWANGI,5110,566,5676,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB MADIUN,2190,76,2266,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB TUBAN,2853,13,2866,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB SAMPANG,1782,47,1829,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB SUMENEP,2753,392,3145,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB TRENGGALEK,2496,,2496,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB PAMEKASAN,2097,407,2504,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB TULUNGAGUNG,5320,882,6202,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA MOJOKERTO,2769,295,3064,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB PASURUAN,4451,348,4799,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB SIDOARJO,9173,4723,13896,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB GRESIK,6146,3360,9506,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB MOJOKERTO,3761,679,4440,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB PONOROGO,3540,955,4495,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB NGANJUK,3460,622,4082,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB LAMONGAN,5340,879,6219,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB BONDOWOSO,2680,442,3122,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB JEMBER,6637,1197,7834,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA BATU,1559,109,1668,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB PACITAN,2357,,2357,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA KEDIRI,4371,353,4724,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB JOMBANG,5146,2354,7500,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA PASURUAN,1416,,1416,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB PROBOLINGGO,2941,,2941,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KAB BLITAR,2871,633,3504,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA MALANG,11999,,11999,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA MADIUN,3582,51,3633,2/11/2021,https://twitter.com/KominfoJatim/status/1359907117956616198/photo/,
KOTA MADIUN,3582,51,3633,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB LUMAJANG,3430,1031,4461,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB BOJONEGORO,4237,1087,5324,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB NGAWI,3081,789,3870,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB MALANG,7406,,7406,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB SITUBONDO,2557,7,2564,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA BLITAR,2369,,2369,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB BANYUWANGI,5189,919,6108,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB BANGKALAN,2900,163,3063,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA PROBOLINGGO,1644,376,2020,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB MAGETAN,2462,267,2729,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA SURABAYA,33392,20274,53666,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB MADIUN,2190,76,2266,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB SAMPANG,1791,47,1838,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB TUBAN,2853,13,2866,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB SUMENEP,2806,431,3237,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB TRENGGALEK,2551,495,3046,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB PAMEKASAN,2097,407,2504,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB TULUNGAGUNG,53320,992,54312,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB PASURUAN,4451,348,4799,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB SIDOARJO,9173,4750,13923,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA MOJOKERTO,3761,738,4499,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB LAMONGAN,5340,1131,6471,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB PONOROGO,3540,973,4513,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB NGANJUK,3460,1092,4552,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB BONDOWOSO,2680,817,3497,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB JEMBER,6637,2101,8738,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA BATU,1559,109,1668,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA MALANG,12147,803,12950,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB PACITAN,2357,,2357,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA KEDIRI,4371,353,4724,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB JOMBANG,5146,2354,7500,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KOTA PASURUAN,1416,79,1495,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB PROBOLINGGO,2944,,2944,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB BLITAR,2871,663,3534,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB KEDIRI,5473,1491,6964,2/12/2021,https://twitter.com/KominfoJatim/status/1360322150821842946/photo/,
KAB JOMBANG,5146,3202,8348,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB SIDOARJO,9173,5300,14473,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB GRESIK,6147,3581,9728,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB BONDOWOSO,2680,1487,4167,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB BOJONEGORO,4345,2392,6737,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA SURABAYA,33432,22224,55656,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB BLITAR,2878,1502,4380,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB NGANJUK,3460,1763,5223,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB TULUNGAGUNG,5320,2137,7457,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB LAMONGAN,5339,2581,7920,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB JEMBER,6637,3194,9831,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB PONOROGO,3540,1607,5147,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB KEDIRI,5483,1941,7424,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA MOJOKERTO,2699,818,3517,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB LUMAJANG,3430,1187,4617,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB NGAWI,3101,1054,4155,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB PASURUAN,4451,1175,5626,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB TRENGGALEK,3021,1107,4128,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB MOJOKERTO,3761,1052,4813,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB PROBOLINGGO,2944,829,3773,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA MALANG,12147,3289,15436,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA PROBOLINGGO,1667,523,2190,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA MADIUN,3585,706,4291,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA PASURUAN,1416,245,1661,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA BATU,1559,256,1815,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB MAGETAN,2489,650,3139,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB MADIUN,2209,598,2807,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB SUMENEP,2868,771,3639,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA KEDIRI,4374,426,4800,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB BANYUWANGI,5189,919,6108,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB PAMEKASAN,2309,738,3047,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB BANGKALAN,2900,449,3349,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB SITUBONDO,2584,336,2920,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB TUBAN,2884,412,3296,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KOTA BLITAR,2475,124,2599,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB PACITAN,2357,32,2389,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB SAMPANG,1821,141,1962,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB MALANG,7512,69,7581,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB TULUNGAGUNG,5320,2474,7794,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PASURUAN,4451,1175,5626,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA MOJOKERTO,2699,818,3517,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SIDOARJO,12267,4089,16356,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB GRESIK,6147,3581,9728,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MOJOKERTO,3761,1058,4819,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PONOROGO,3540,1839,5379,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB NGANJUK,3460,1763,5223,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB LAMONGAN,5339,2775,8114,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BONDOWOSO,2680,1487,4167,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB JEMBER,6637,3371,10008,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA BATU,1559,256,1815,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PACITAN,2357,32,2389,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA KEDIRI,4374,426,4800,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB JOMBANG,5146,3202,8348,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA PASURUAN,1416,245,1661,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PROBOLINGGO,2944,847,3791,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BLITAR,2878,1052,3930,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BOJONEGORO,4345,2392,6737,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB KEDIRI,5483,1941,7424,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA MADIUN,3585,1248,4833,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB NGAWI,3101,1054,4155,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB LUMAJANG,3430,1237,4667,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA BLITAR,2475,124,2599,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TRENGGALEK,3021,1107,4128,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MALANG,7512,69,7581,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SITUBONDO,2584,336,2920,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA PROBOLINGGO,1667,523,2190,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MAGETAN,2489,650,3139,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANGKALAN,2900,449,3349,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANYUWANGI,5161,2612,7773,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SAMPANG,1821,170,1991,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA SURABAYA,33432,22224,55656,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MADIUN,2209,598,2807,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TUBAN,2884,412,3296,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SUMENEP,2868,771,3639,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PAMEKASAN,2309,738,3047,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TULUNGAGUNG,5320,3974,9294,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA BATU,1559,1315,2874,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB JEMBER,6638,5334,11972,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
