City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB BANGKALAN,1903,,1903,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB MALANG,4254,,4254,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB SITUBONDO,1591,,1591,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB PAMEKASAN,1621,,1621,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB PASURUAN,2238,,2238,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB TUBAN,1608,,1608,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB SUMENEP,1408,,1408,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB SAMPANG,872,,872,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB PACITAN,585,,585,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB LUMAJANG,3035,,3035,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB BOJONEGORO,3699,,3699,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB JOMBANG,4293,,4293,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB BLITAR,2331,,2331,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB TULUNGAGUNG,3986,,3986,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB LAMONGAN,3994,,3994,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB BONDOWOSO,2151,,2151,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB BANYUWANGI,4110,,4110,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB PONOROGO,2787,,2787,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KOTA SURABAYA,23759,3232,26991,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KOTA BATU,1202,,1202,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KAB MADIUN,1862,,1862,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
KOTA MADIUN,2808,,2808,2/2/2021,https://twitter.com/KominfoJatim/status/1356644129665478656/photo,
