Date,Province,Daily_Case,Daily_Death,Daily_Recovered,Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
01/03/2020,DKI JAKARTA,2,0,0,2,2,0,0,2
02/03/2020,DKI JAKARTA,2,0,0,2,4,0,0,4
03/03/2020,DKI JAKARTA,2,0,0,2,6,0,0,6
04/03/2020,DKI JAKARTA,2,0,0,2,8,0,0,8
05/03/2020,DKI JAKARTA,0,1,0,-1,8,0,1,7
06/03/2020,DKI JAKARTA,0,0,0,0,8,0,1,7
07/03/2020,DKI JAKARTA,0,2,0,-2,8,0,3,5
08/03/2020,DKI JAKARTA,0,0,0,0,8,0,3,5
09/03/2020,DKI JAKARTA,0,1,0,-1,8,0,4,4
10/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
11/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
12/03/2020,DKI JAKARTA,2,1,4,-3,10,4,5,1
13/03/2020,DKI JAKARTA,4,1,3,0,14,7,6,1
14/03/2020,DKI JAKARTA,2,1,1,0,16,8,7,1
15/03/2020,DKI JAKARTA,8,3,0,5,24,8,10,6
16/03/2020,DKI JAKARTA,2,3,0,-1,26,8,13,5
17/03/2020,DKI JAKARTA,2,1,0,1,28,8,14,6
18/03/2020,DKI JAKARTA,1,1,0,0,29,8,15,6
19/03/2020,DKI JAKARTA,2,0,1,1,31,9,15,7
20/03/2020,DKI JAKARTA,5,3,1,1,36,10,18,8
21/03/2020,DKI JAKARTA,8,3,6,-1,44,16,21,7
22/03/2020,DKI JAKARTA,2,0,3,-1,46,19,21,6
23/03/2020,DKI JAKARTA,0,0,0,0,46,19,21,6
24/03/2020,DKI JAKARTA,16,19,3,-6,62,22,40,0
25/03/2020,DKI JAKARTA,1,1,0,0,63,22,41,0
26/03/2020,DKI JAKARTA,57,2,0,55,120,22,43,55
27/03/2020,DKI JAKARTA,74,7,6,61,194,28,50,116
28/03/2020,DKI JAKARTA,48,9,9,30,242,37,59,146
29/03/2020,DKI JAKARTA,52,10,0,42,294,37,69,188
30/03/2020,DKI JAKARTA,33,7,0,26,327,37,76,214
31/03/2020,DKI JAKARTA,44,10,0,34,371,37,86,248
01/04/2020,DKI JAKARTA,59,1,0,58,430,37,87,306
02/04/2020,DKI JAKARTA,70,5,2,63,500,39,92,369
03/04/2020,DKI JAKARTA,71,6,2,63,571,41,98,432
04/04/2020,DKI JAKARTA,57,8,5,44,628,46,106,476
05/04/2020,DKI JAKARTA,87,11,2,74,715,48,117,550
06/04/2020,DKI JAKARTA,103,7,7,89,818,55,124,639
07/04/2020,DKI JAKARTA,113,14,3,96,931,58,138,735
08/04/2020,DKI JAKARTA,90,8,5,77,1021,63,146,812
09/04/2020,DKI JAKARTA,228,34,5,189,1249,68,180,1001
10/04/2020,DKI JAKARTA,53,11,4,38,1302,72,191,1039
11/04/2020,DKI JAKARTA,190,10,7,173,1492,79,201,1212
12/04/2020,DKI JAKARTA,156,33,37,86,1648,116,234,1298
13/04/2020,DKI JAKARTA,135,7,1,127,1783,117,241,1425
14/04/2020,DKI JAKARTA,122,10,0,112,1905,117,251,1537
15/04/2020,DKI JAKARTA,143,9,20,114,2048,137,260,1651
16/04/2020,DKI JAKARTA,174,1,0,173,2222,137,261,1824
17/04/2020,DKI JAKARTA,170,7,35,128,2392,172,268,1952
18/04/2020,DKI JAKARTA,101,7,1,93,2493,173,275,2045
19/04/2020,DKI JAKARTA,113,3,25,85,2606,198,278,2130
20/04/2020,DKI JAKARTA,74,5,7,62,2680,205,283,2192
21/04/2020,DKI JAKARTA,183,2,59,122,2863,264,285,2314
22/04/2020,DKI JAKARTA,110,1,8,101,2973,272,286,2415
23/04/2020,DKI JAKARTA,122,0,4,118,3095,276,286,2533
24/04/2020,DKI JAKARTA,78,0,1,77,3173,277,286,2610
25/04/2020,DKI JAKARTA,78,19,7,52,3251,284,305,2662
26/04/2020,DKI JAKARTA,104,7,1,96,3355,285,312,2758
27/04/2020,DKI JAKARTA,66,13,1,52,3421,286,325,2810
28/04/2020,DKI JAKARTA,124,4,22,98,3545,308,329,2908
29/04/2020,DKI JAKARTA,110,0,75,35,3655,383,329,2943
30/04/2020,DKI JAKARTA,106,0,46,60,3761,429,329,3003
01/05/2020,DKI JAKARTA,135,4,2,129,3896,431,333,3132
02/05/2020,DKI JAKARTA,92,17,24,51,3988,455,350,3183
03/05/2020,DKI JAKARTA,129,5,112,12,4117,567,355,3195
04/05/2020,DKI JAKARTA,80,8,3,69,4197,570,363,3264
05/05/2020,DKI JAKARTA,132,1,66,65,4329,636,364,3329
06/05/2020,DKI JAKARTA,106,5,37,64,4435,673,369,3393
07/05/2020,DKI JAKARTA,82,8,4,70,4517,677,377,3463
08/05/2020,DKI JAKARTA,96,1,0,95,4613,677,378,3558
09/05/2020,DKI JAKARTA,98,3,5,90,4711,682,381,3648
10/05/2020,DKI JAKARTA,125,6,49,70,4836,731,387,3718
11/05/2020,DKI JAKARTA,81,6,9,66,4917,740,393,3784
12/05/2020,DKI JAKARTA,96,2,108,-14,5013,848,395,3770
13/05/2020,DKI JAKARTA,180,6,96,78,5193,944,401,3848
14/05/2020,DKI JAKARTA,135,2,134,-1,5328,1078,403,3847
15/05/2020,DKI JAKARTA,86,7,106,-27,5414,1184,410,3820
16/05/2020,DKI JAKARTA,101,0,18,83,5515,1202,410,3903
17/05/2020,DKI JAKARTA,127,3,11,113,5642,1213,413,4016
18/05/2020,DKI JAKARTA,79,0,0,79,5721,1213,413,4095
19/05/2020,DKI JAKARTA,94,7,21,66,5815,1234,420,4161
20/05/2020,DKI JAKARTA,84,1,3,80,5899,1237,421,4241
21/05/2020,DKI JAKARTA,70,8,130,-68,5969,1367,429,4173
22/05/2020,DKI JAKARTA,106,29,55,22,6075,1422,458,4195
23/05/2020,DKI JAKARTA,111,1,54,56,6186,1476,459,4251
24/05/2020,DKI JAKARTA,112,0,20,92,6298,1496,459,4343
25/05/2020,DKI JAKARTA,76,0,65,11,6374,1561,459,4354
26/05/2020,DKI JAKARTA,87,0,13,74,6461,1574,459,4428
27/05/2020,DKI JAKARTA,109,8,16,85,6570,1590,467,4513
28/05/2020,DKI JAKARTA,100,0,20,80,6670,1610,467,4593
29/05/2020,DKI JAKARTA,125,0,38,87,6795,1648,467,4680
30/05/2020,DKI JAKARTA,108,7,255,-154,6903,1903,474,4526
31/05/2020,DKI JAKARTA,113,1,70,42,7016,1973,475,4568
01/06/2020,DKI JAKARTA,157,2,185,-30,7173,2158,477,4538
02/06/2020,DKI JAKARTA,59,0,120,-61,7232,2278,477,4477
03/06/2020,DKI JAKARTA,91,5,181,-95,7323,2459,482,4382
04/06/2020,DKI JAKARTA,109,0,21,88,7432,2480,482,4470
05/06/2020,DKI JAKARTA,70,1,138,-69,7502,2618,483,4401
06/06/2020,DKI JAKARTA,117,0,86,31,7619,2704,483,4432
07/06/2020,DKI JAKARTA,168,4,287,-123,7787,2991,487,4309
08/06/2020,DKI JAKARTA,90,0,75,15,7877,3066,487,4324
09/06/2020,DKI JAKARTA,239,4,163,72,8116,3229,491,4396
10/06/2020,DKI JAKARTA,166,2,141,23,8282,3370,493,4419
11/06/2020,DKI JAKARTA,131,1,147,-17,8413,3517,494,4402
12/06/2020,DKI JAKARTA,92,4,118,-30,8505,3635,498,4372
13/06/2020,DKI JAKARTA,121,8,58,55,8626,3693,506,4427
14/06/2020,DKI JAKARTA,118,9,246,-137,8744,3939,515,4290
15/06/2020,DKI JAKARTA,141,2,111,28,8885,4050,517,4318
16/06/2020,DKI JAKARTA,97,0,132,-35,8982,4182,517,4283
17/06/2020,DKI JAKARTA,122,5,115,2,9104,4297,522,4285
18/06/2020,DKI JAKARTA,171,30,130,11,9275,4427,552,4296
19/06/2020,DKI JAKARTA,133,1,126,6,9408,4553,553,4302
20/06/2020,DKI JAKARTA,189,8,123,58,9597,4676,561,4360
21/06/2020,DKI JAKARTA,141,1,234,-94,9738,4910,562,4266
22/06/2020,DKI JAKARTA,123,0,75,48,9861,4985,562,4314
23/06/2020,DKI JAKARTA,160,8,109,43,10021,5094,570,4357
24/06/2020,DKI JAKARTA,152,8,97,47,10173,5191,578,4404
25/06/2020,DKI JAKARTA,181,9,220,-48,10354,5411,587,4356
26/06/2020,DKI JAKARTA,197,4,0,193,10551,5411,591,4549
27/06/2020,DKI JAKARTA,192,8,68,116,10743,5479,599,4665
28/06/2020,DKI JAKARTA,132,1,255,-124,10875,5734,600,4541
29/06/2020,DKI JAKARTA,122,0,252,-130,10997,5986,600,4411
30/06/2020,DKI JAKARTA,182,8,394,-220,11179,6380,608,4191
01/07/2020,DKI JAKARTA,215,0,168,47,11394,6548,608,4238
02/07/2020,DKI JAKARTA,200,6,192,2,11594,6740,614,4240
03/07/2020,DKI JAKARTA,140,5,240,-105,11734,6980,619,4135
04/07/2020,DKI JAKARTA,218,0,268,-50,11952,7248,619,4085
05/07/2020,DKI JAKARTA,255,5,286,-36,12207,7534,624,4049
06/07/2020,DKI JAKARTA,221,0,374,-153,12428,7908,624,3896
07/07/2020,DKI JAKARTA,193,12,242,-61,12621,8150,636,3835
08/07/2020,DKI JAKARTA,350,6,147,197,12971,8297,642,4032
09/07/2020,DKI JAKARTA,277,6,223,48,13248,8520,648,4080
10/07/2020,DKI JAKARTA,252,0,180,72,13500,8700,648,4152
11/07/2020,DKI JAKARTA,383,10,215,158,13883,8915,658,4310
12/07/2020,DKI JAKARTA,395,10,159,226,14278,9074,668,4536
13/07/2020,DKI JAKARTA,281,7,208,66,14559,9282,675,4602
14/07/2020,DKI JAKARTA,266,4,120,142,14825,9402,679,4744
15/07/2020,DKI JAKARTA,251,5,197,49,15076,9599,684,4793
16/07/2020,DKI JAKARTA,309,8,135,166,15385,9734,692,4959
17/07/2020,DKI JAKARTA,257,6,139,112,15642,9873,698,5071
18/07/2020,DKI JAKARTA,339,8,121,210,15981,9994,706,5281
19/07/2020,DKI JAKARTA,319,9,327,-17,16300,10321,715,5264
20/07/2020,DKI JAKARTA,381,9,155,217,16681,10476,724,5481
21/07/2020,DKI JAKARTA,432,8,266,158,17113,10742,732,5639
22/07/2020,DKI JAKARTA,387,5,367,15,17500,11109,737,5654
23/07/2020,DKI JAKARTA,462,2,168,292,17962,11277,739,5946
24/07/2020,DKI JAKARTA,293,4,270,19,18255,11547,743,5965
25/07/2020,DKI JAKARTA,369,0,175,194,18624,11722,743,6159
26/07/2020,DKI JAKARTA,384,4,161,219,19008,11883,747,6378
27/07/2020,DKI JAKARTA,501,10,112,379,19509,11995,757,6757
28/07/2020,DKI JAKARTA,409,16,374,19,19918,12369,773,6776
29/07/2020,DKI JAKARTA,617,14,250,353,20535,12619,787,7129
30/07/2020,DKI JAKARTA,397,19,188,190,20932,12807,806,7319
31/07/2020,DKI JAKARTA,430,14,405,11,21362,13212,820,7330
01/08/2020,DKI JAKARTA,368,12,680,-324,21730,13892,832,7006
02/08/2020,DKI JAKARTA,377,0,141,236,22107,14033,832,7242
03/08/2020,DKI JAKARTA,472,16,134,322,22579,14167,848,7564
04/08/2020,DKI JAKARTA,410,14,224,172,22989,14391,862,7736
05/08/2020,DKI JAKARTA,354,14,379,-39,23343,14770,876,7697
06/08/2020,DKI JAKARTA,556,13,248,295,23899,15018,889,7992
07/08/2020,DKI JAKARTA,665,12,196,457,24564,15214,901,8449
08/08/2020,DKI JAKARTA,686,11,509,166,25250,15723,912,8615
09/08/2020,DKI JAKARTA,440,6,560,-126,25690,16283,918,8489
10/08/2020,DKI JAKARTA,433,2,179,252,26123,16462,920,8741
11/08/2020,DKI JAKARTA,462,12,184,266,26585,16646,932,9007
12/08/2020,DKI JAKARTA,529,15,822,-308,27114,17468,947,8699
13/08/2020,DKI JAKARTA,608,11,400,197,27722,17868,958,8896
14/08/2020,DKI JAKARTA,538,4,694,-160,28260,18562,962,8736
15/08/2020,DKI JAKARTA,583,6,527,50,28843,19089,968,8786
16/08/2020,DKI JAKARTA,518,1,654,-137,29361,19743,969,8649
17/08/2020,DKI JAKARTA,552,14,209,329,29913,19952,983,8978
18/08/2020,DKI JAKARTA,513,19,589,-95,30426,20541,1002,8883
19/08/2020,DKI JAKARTA,551,18,570,-37,30977,21111,1020,8846
20/08/2020,DKI JAKARTA,594,16,729,-151,31571,21840,1036,8695
21/08/2020,DKI JAKARTA,657,16,435,206,32228,22275,1052,8901
22/08/2020,DKI JAKARTA,588,17,653,-82,32816,22928,1069,8819
23/08/2020,DKI JAKARTA,614,17,693,-96,33430,23621,1086,8723
24/08/2020,DKI JAKARTA,633,16,1901,-1284,34063,25522,1102,7439
25/08/2020,DKI JAKARTA,638,15,526,97,34701,26048,1117,7536
26/08/2020,DKI JAKARTA,713,7,764,-58,35414,26812,1124,7478
27/08/2020,DKI JAKARTA,760,11,1539,-790,36174,28351,1135,6688
28/08/2020,DKI JAKARTA,869,10,880,-21,37043,29231,1145,6667
29/08/2020,DKI JAKARTA,861,18,600,243,37904,29831,1163,6910
30/08/2020,DKI JAKARTA,1094,9,368,717,38998,30199,1172,7627
31/08/2020,DKI JAKARTA,1049,14,402,633,40047,30601,1186,8260
01/09/2020,DKI JAKARTA,901,17,737,147,40948,31338,1203,8407
02/09/2020,DKI JAKARTA,1054,17,479,558,42002,31817,1220,8965
03/09/2020,DKI JAKARTA,1359,15,702,642,43361,32519,1235,9607
04/09/2020,DKI JAKARTA,880,6,823,51,44241,33342,1241,9658
05/09/2020,DKI JAKARTA,877,14,731,132,45118,34073,1255,9790
06/09/2020,DKI JAKARTA,1176,10,805,361,46294,34878,1265,10151
07/09/2020,DKI JAKARTA,1046,22,662,362,47340,35540,1287,10513
08/09/2020,DKI JAKARTA,1014,21,931,62,48354,36471,1308,10575
09/09/2020,DKI JAKARTA,1004,17,844,143,49358,37315,1325,10718
10/09/2020,DKI JAKARTA,1274,17,1008,249,50632,38323,1342,10967
11/09/2020,DKI JAKARTA,964,17,904,43,51596,39227,1359,11010
12/09/2020,DKI JAKARTA,1205,18,665,522,52801,39892,1377,11532
13/09/2020,DKI JAKARTA,1380,5,957,418,54181,40849,1382,11950
14/09/2020,DKI JAKARTA,879,27,1511,-659,55060,42360,1409,11291
15/09/2020,DKI JAKARTA,1076,33,982,61,56136,43342,1442,11352
16/09/2020,DKI JAKARTA,1294,31,1146,117,57430,44488,1473,11469
17/09/2020,DKI JAKARTA,1113,14,748,351,58543,45236,1487,11820
18/09/2020,DKI JAKARTA,1258,22,1036,200,59801,46272,1509,12020
19/09/2020,DKI JAKARTA,988,10,1032,-54,60789,47304,1519,11966
20/09/2020,DKI JAKARTA,1138,14,1069,55,61927,48373,1533,12021
21/09/2020,DKI JAKARTA,1352,29,1294,29,63279,49667,1562,12050
22/09/2020,DKI JAKARTA,1236,30,849,357,64515,50516,1592,12407
23/09/2020,DKI JAKARTA,1135,28,1105,2,65650,51621,1620,12409
24/09/2020,DKI JAKARTA,1044,20,1162,-138,66694,52783,1640,12271
25/09/2020,DKI JAKARTA,1171,13,1626,-468,67865,54409,1653,11803
26/09/2020,DKI JAKARTA,1323,12,764,547,69188,55173,1665,12350
27/09/2020,DKI JAKARTA,1217,13,1294,-90,70405,56467,1678,12260
28/09/2020,DKI JAKARTA,898,9,1331,-442,71303,57798,1687,11818
29/09/2020,DKI JAKARTA,1238,21,1121,96,72541,58919,1708,11914
30/09/2020,DKI JAKARTA,1159,13,1452,-306,73700,60371,1721,11608
01/10/2020,DKI JAKARTA,1253,6,1118,129,74953,61489,1727,11737
02/10/2020,DKI JAKARTA,1198,3,675,520,76151,62164,1730,12257
03/10/2020,DKI JAKARTA,1265,4,1190,71,77416,63354,1734,12328
04/10/2020,DKI JAKARTA,1398,13,1031,354,78814,64385,1747,12682
05/10/2020,DKI JAKARTA,1022,16,980,26,79836,65365,1763,12708
06/10/2020,DKI JAKARTA,1106,31,1016,59,80942,66381,1794,12767
07/10/2020,DKI JAKARTA,1211,15,987,209,82153,67368,1809,12976
08/10/2020,DKI JAKARTA,1182,17,1047,118,83335,68415,1826,13094
09/10/2020,DKI JAKARTA,943,21,849,73,84278,69264,1847,13167
10/10/2020,DKI JAKARTA,1259,16,1284,-41,85537,70548,1863,13126
11/10/2020,DKI JAKARTA,1389,18,1062,309,86926,71610,1881,13435
12/10/2020,DKI JAKARTA,1211,25,1113,73,88137,72723,1906,13508
13/10/2020,DKI JAKARTA,1054,19,1101,-66,89191,73824,1925,13442
14/10/2020,DKI JAKARTA,1038,17,1203,-182,90229,75027,1942,13260
15/10/2020,DKI JAKARTA,1072,20,1050,2,91301,76077,1962,13262
16/10/2020,DKI JAKARTA,1045,24,982,39,92346,77059,1986,13301
17/10/2020,DKI JAKARTA,974,23,1108,-157,93320,78167,2009,13144
18/10/2020,DKI JAKARTA,971,17,1080,-126,94291,79247,2026,13018
19/10/2020,DKI JAKARTA,926,14,1128,-216,95217,80375,2040,12802
20/10/2020,DKI JAKARTA,964,22,837,105,96181,81212,2062,12907
21/10/2020,DKI JAKARTA,1000,21,1073,-94,97181,82285,2083,12813
22/10/2020,DKI JAKARTA,989,16,1157,-184,98170,83442,2099,12629
23/10/2020,DKI JAKARTA,952,21,1093,-162,99122,84535,2120,12467
24/10/2020,DKI JAKARTA,1062,20,1157,-115,100184,85692,2140,12352
25/10/2020,DKI JAKARTA,771,18,1231,-478,100955,86923,2158,11874
26/10/2020,DKI JAKARTA,906,13,1185,-292,101861,88108,2171,11582
27/10/2020,DKI JAKARTA,781,11,1130,-360,102642,89238,2182,11222
28/10/2020,DKI JAKARTA,844,17,1060,-233,103486,90298,2199,10989
29/10/2020,DKI JAKARTA,713,14,1084,-385,104199,91382,2213,10604
30/10/2020,DKI JAKARTA,612,14,1081,-483,104811,92463,2227,10121
31/10/2020,DKI JAKARTA,750,19,1047,-316,105561,93510,2246,9805
01/11/2020,DKI JAKARTA,608,19,1474,-885,106169,94984,2265,8920
02/11/2020,DKI JAKARTA,1024,18,1058,-52,107193,96042,2283,8868
03/11/2020,DKI JAKARTA,617,10,1025,-418,107810,97067,2293,8450
04/11/2020,DKI JAKARTA,768,14,940,-186,108578,98007,2307,8264
05/11/2020,DKI JAKARTA,797,15,974,-192,109375,98981,2322,8072
06/11/2020,DKI JAKARTA,672,18,1028,-374,110047,100009,2340,7698
07/11/2020,DKI JAKARTA,1118,11,987,120,111165,100996,2351,7818
08/11/2020,DKI JAKARTA,826,8,984,-166,111991,101980,2359,7652
09/11/2020,DKI JAKARTA,716,12,1131,-427,112707,103111,2371,7225
10/11/2020,DKI JAKARTA,1013,13,1257,-257,113720,104368,2384,6968
11/11/2020,DKI JAKARTA,587,13,959,-385,114307,105327,2397,6583
12/11/2020,DKI JAKARTA,831,11,1072,-252,115138,106399,2408,6331
13/11/2020,DKI JAKARTA,1033,10,13,1010,116171,106412,2418,7341
14/11/2020,DKI JAKARTA,1255,5,11,1239,117426,106423,2423,8580
15/11/2020,DKI JAKARTA,1164,2,23,1139,118590,106446,2425,9719
16/11/2020,DKI JAKARTA,1006,2,867,137,119596,107313,2427,9856
17/11/2020,DKI JAKARTA,1037,36,825,176,120633,108138,2463,10032
18/11/2020,DKI JAKARTA,1148,11,2193,-1056,121781,110331,2474,8976
19/11/2020,DKI JAKARTA,1186,14,2671,-1499,122967,113002,2488,7477
20/11/2020,DKI JAKARTA,1240,0,569,671,124207,113571,2488,8148
21/11/2020,DKI JAKARTA,1579,15,1085,479,125786,114656,2503,8627
22/11/2020,DKI JAKARTA,1342,16,1070,256,127128,115726,2519,8883
23/11/2020,DKI JAKARTA,1009,3,1052,-46,128137,116778,2522,8837
24/11/2020,DKI JAKARTA,1015,19,1089,-93,129152,117867,2541,8744
25/11/2020,DKI JAKARTA,1273,17,1090,166,130425,118957,2558,8910
26/11/2020,DKI JAKARTA,1064,14,1134,-84,131489,120091,2572,8826
27/11/2020,DKI JAKARTA,1436,15,838,583,132925,120929,2587,9409
28/11/2020,DKI JAKARTA,1370,15,1232,123,134295,122161,2602,9532
29/11/2020,DKI JAKARTA,1431,19,820,592,135726,122981,2621,10124
30/11/2020,DKI JAKARTA,1099,25,910,164,136825,123891,2646,10288
01/12/2020,DKI JAKARTA,1058,23,1042,-7,137883,124933,2669,10281
02/12/2020,DKI JAKARTA,1166,23,1063,80,139049,125996,2692,10361
03/12/2020,DKI JAKARTA,1153,34,1073,46,140202,127069,2726,10407
04/12/2020,DKI JAKARTA,1032,23,928,81,141234,127997,2749,10488
05/12/2020,DKI JAKARTA,1360,23,1031,306,142594,129028,2772,10794
06/12/2020,DKI JAKARTA,1331,23,1040,268,143925,130068,2795,11062
07/12/2020,DKI JAKARTA,1466,24,944,498,145391,131012,2819,11560
08/12/2020,DKI JAKARTA,1194,21,1203,-30,146585,132215,2840,11530
09/12/2020,DKI JAKARTA,1217,18,1073,126,147802,133288,2858,11656
10/12/2020,DKI JAKARTA,1180,18,1046,116,148982,134334,2876,11772
11/12/2020,DKI JAKARTA,1232,4,1096,132,150214,135430,2880,11904
12/12/2020,DKI JAKARTA,951,17,923,11,151165,136353,2897,11915
13/12/2020,DKI JAKARTA,1298,16,1112,170,152463,137465,2913,12085
14/12/2020,DKI JAKARTA,1506,17,1471,18,153969,138936,2930,12103
15/12/2020,DKI JAKARTA,1116,22,1136,-42,155085,140072,2952,12061
16/12/2020,DKI JAKARTA,1221,22,1142,57,156306,141214,2974,12118
17/12/2020,DKI JAKARTA,1690,20,1372,298,157996,142586,2994,12416
18/12/2020,DKI JAKARTA,1587,19,1234,334,159583,143820,3013,12750
19/12/2020,DKI JAKARTA,1899,20,1097,782,161482,144917,3033,13532
20/12/2020,DKI JAKARTA,1592,19,1874,-301,163074,146791,3052,13231
21/12/2020,DKI JAKARTA,1466,15,1368,83,164540,148159,3067,13314
22/12/2020,DKI JAKARTA,1311,14,1374,-77,165851,149533,3081,13237
23/12/2020,DKI JAKARTA,1954,15,1444,495,167805,150977,3096,13732
24/12/2020,DKI JAKARTA,1933,16,1341,576,169738,152318,3112,14308
25/12/2020,DKI JAKARTA,2096,21,1727,348,171834,154045,3133,14656
26/12/2020,DKI JAKARTA,2058,14,2552,-508,173892,156597,3147,14148
27/12/2020,DKI JAKARTA,1997,22,1824,151,175889,158421,3169,14299
28/12/2020,DKI JAKARTA,1678,21,1713,-56,177567,160134,3190,14243
29/12/2020,DKI JAKARTA,2056,18,1002,1036,179623,161136,3208,15279
30/12/2020,DKI JAKARTA,2053,21,1567,465,181676,162703,3229,15744
31/12/2020,DKI JAKARTA,2022,21,1968,33,183698,164671,3250,15777
01/01/2021,DKI JAKARTA,1956,20,1643,293,185654,166314,3270,16070
02/01/2021,DKI JAKARTA,1894,26,2280,-412,187548,168594,3296,15658
03/01/2021,DKI JAKARTA,1658,10,1691,-43,189206,170285,3306,15615
04/01/2021,DKI JAKARTA,1832,21,2527,-716,191038,172812,3327,14899
05/01/2021,DKI JAKARTA,1824,19,1339,466,192862,174151,3346,15365
06/01/2021,DKI JAKARTA,2402,16,1095,1291,195264,175246,3362,16656
07/01/2021,DKI JAKARTA,2398,21,1446,931,197662,176692,3383,17587
08/01/2021,DKI JAKARTA,2959,24,2690,245,200621,179382,3407,17832
09/01/2021,DKI JAKARTA,2753,27,2118,608,203374,181500,3434,18440
10/01/2021,DKI JAKARTA,2711,31,2898,-218,206085,184398,3465,18222
11/01/2021,DKI JAKARTA,2461,31,2510,-80,208546,186908,3496,18142
12/01/2021,DKI JAKARTA,2669,34,1657,978,211215,188565,3530,19120
13/01/2021,DKI JAKARTA,3476,45,2952,479,214691,191517,3575,19599
14/01/2021,DKI JAKARTA,3165,43,2075,1047,217856,193592,3618,20646
15/01/2021,DKI JAKARTA,2541,35,2490,16,220397,196082,3653,20662
16/01/2021,DKI JAKARTA,3536,32,1772,1732,223933,197854,3685,22394
17/01/2021,DKI JAKARTA,3395,33,3776,-414,227328,201630,3718,21980
18/01/2021,DKI JAKARTA,2361,36,2801,-476,229689,204431,3754,21504
19/01/2021,DKI JAKARTA,2563,40,2500,23,232252,206931,3794,21527
20/01/2021,DKI JAKARTA,3786,33,3770,-17,236038,210701,3827,21510
21/01/2021,DKI JAKARTA,3151,30,2570,551,239189,213271,3857,22061
22/01/2021,DKI JAKARTA,3792,41,2169,1582,242981,215440,3898,23643
23/01/2021,DKI JAKARTA,3285,31,3492,-238,246266,218932,3929,23405
24/01/2021,DKI JAKARTA,3512,39,2328,1145,249778,221260,3968,24550
25/01/2021,DKI JAKARTA,2451,43,2504,-96,252229,223764,4011,24454
26/01/2021,DKI JAKARTA,2313,46,2939,-672,254542,226703,4057,23782
27/01/2021,DKI JAKARTA,1836,34,2970,-1168,256378,229673,4091,22614
28/01/2021,DKI JAKARTA,2889,40,2731,118,259267,232404,4131,22732
29/01/2021,DKI JAKARTA,3448,44,2428,976,262715,234832,4175,23708
30/01/2021,DKI JAKARTA,3491,30,3566,-105,266206,238398,4205,23603
31/01/2021,DKI JAKARTA,3474,42,3355,77,269680,241753,4247,23680
01/02/2021,DKI JAKARTA,3614,45,2352,1217,273294,244105,4292,24897
02/02/2021,DKI JAKARTA,3362,44,4577,-1259,276656,248682,4336,23638
03/02/2021,DKI JAKARTA,3567,44,1391,2132,280223,250073,4380,25770
04/02/2021,DKI JAKARTA,3632,40,3963,-371,283855,254036,4420,25399
05/02/2021,DKI JAKARTA,3340,45,2475,820,287195,256511,4465,26219
06/02/2021,DKI JAKARTA,2379,44,4434,-2099,289574,260945,4509,24120
07/02/2021,DKI JAKARTA,4212,45,4305,-138,293786,265250,4554,23982
08/02/2021,DKI JAKARTA,3142,43,3417,-318,296928,268667,4597,23664
09/02/2021,DKI JAKARTA,3437,57,2786,594,300365,271453,4654,24258
10/02/2021,DKI JAKARTA,3308,43,3245,20,303673,274698,4697,24278
11/02/2021,DKI JAKARTA,2513,51,4097,-1635,306186,278795,4748,22643
12/02/2021,DKI JAKARTA,3807,50,5636,-1879,309993,284431,4798,20764
13/02/2021,DKI JAKARTA,3017,53,5010,-2046,313010,289441,4851,18718
14/02/2021,DKI JAKARTA,2497,48,3977,-1528,315507,293418,4899,17190
15/02/2021,DKI JAKARTA,1879,42,2081,-244,317386,295499,4941,16946
16/02/2021,DKI JAKARTA,1861,62,1580,219,319247,297079,5003,17165
17/02/2021,DKI JAKARTA,1446,31,2591,-1176,320693,299670,5034,15989
18/02/2021,DKI JAKARTA,373,35,2717,-2379,321066,302387,5069,13610
19/02/2021,DKI JAKARTA,1920,6,2758,-844,322986,305145,5075,12766
20/02/2021,DKI JAKARTA,2872,40,2490,342,325858,307635,5115,13108
21/02/2021,DKI JAKARTA,2725,55,2681,-11,328583,310316,5170,13097
22/02/2021,DKI JAKARTA,2466,40,2305,121,331049,312621,5210,13218
23/02/2021,DKI JAKARTA,782,45,2052,-1315,331831,314673,5255,11903
24/02/2021,DKI JAKARTA,782,35,1857,-1110,332613,316530,5290,10793
25/02/2021,DKI JAKARTA,1581,56,2656,-1131,334194,319186,5346,9662
26/02/2021,DKI JAKARTA,1662,42,1864,-244,335856,321050,5388,9418
27/02/2021,DKI JAKARTA,1736,44,1163,529,337592,322213,5432,9947
28/02/2021,DKI JAKARTA,2098,43,891,1164,339690,323104,5475,11111
01/03/2021,DKI JAKARTA,2058,52,3134,-1128,341748,326238,5527,9983
02/03/2021,DKI JAKARTA,577,36,2165,-1624,342325,328403,5563,8359
03/03/2021,DKI JAKARTA,1437,38,2487,-1088,343762,330890,5601,7271
04/03/2021,DKI JAKARTA,2009,46,1750,213,345771,332640,5647,7484
05/03/2021,DKI JAKARTA,1160,45,1290,-175,346931,333930,5692,7309
06/03/2021,DKI JAKARTA,1615,44,1568,3,348546,335498,5736,7312
07/03/2021,DKI JAKARTA,1835,45,1765,25,350381,337263,5781,7337
